ID,Experience/Team_Size,Technical_Skills,Programming_Languages,Field,Role,Project_Description,Availability/Project_Duration,Communication_Tools,Work_Preference,Certifications,Languages,Industry
A0015,2,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,Data Scientist,Company Project,Full-Time,Microsoft Teams,Waterfall,AWS Certified,Korean,Education
A0016,13,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,Frontend Developer,Open Source Contribution,Long-Term,Slack,Waterfall,AWS Certified,Spanish,Technology
A0017,5,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",DevOps,Data Engineer,Cloud infrastructure,Full-Time,Slack,Agile,AWS Certified,Spanish,Finance
A0018,3,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,Backend Developer,Company Project,Part-Time,Microsoft Teams,Waterfall,None,Korean,Healthcare
A0019,9,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Frontend Developer,Mobile app,Full-Time,Zoom,Waterfall,None,English,Education
A0020,3,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Data Science,Data Engineer,Mobile app,Long-Term,Microsoft Teams,Waterfall,None,Chinese,Finance
A0021,11,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Data Engineer,E-commerce platform,Part-Time,Slack,Waterfall,AWS Certified,English,Finance
A0022,9,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Backend Developer,Cloud infrastructure,Full-Time,Slack,Waterfall,None,Spanish,Healthcare
A0023,7,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Data Science,DevOps,Mobile app,Part-Time,Microsoft Teams,Agile,PMP,Korean,Education
A0024,14,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",DevOps,Data Engineer,Company Project,Mid-Term,Zoom,Agile,PMP,Spanish,Finance
A0025,4,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Data Science,Frontend Developer,Company Project,Long-Term,Slack,Waterfall,None,Chinese,Technology
A0026,2,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Backend Developer,Mobile app,Short-Term,Microsoft Teams,Waterfall,None,Chinese,Healthcare
A0027,9,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Data Science,Data Scientist,Company Project,Freelancer,Zoom,Waterfall,None,English,Finance
A0028,1,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Frontend Developer,Mobile app,Mid-Term,Zoom,Waterfall,AWS Certified,Chinese,Education
A0029,15,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Data Science,Frontend Developer,Open Source Contribution,Full-Time,Zoom,Waterfall,None,Spanish,Finance
A0030,12,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",DevOps,DevOps,Cloud infrastructure,Short-Term,Zoom,Waterfall,AWS Certified,Spanish,Healthcare
A0031,5,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Data Science,Data Engineer,Mobile app,Full-Time,Slack,Agile,AWS Certified,Chinese,Finance
A0032,15,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Frontend Developer,Mobile app,Freelancer,Slack,Waterfall,PMP,Chinese,Healthcare
A0033,11,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Data Scientist,E-commerce platform,Part-Time,Slack,Agile,AWS Certified,English,Healthcare
A0034,10,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",DevOps,DevOps,Open Source Contribution,Freelancer,Zoom,Waterfall,None,Spanish,Education
A0035,2,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Backend Developer,Cloud infrastructure,Freelancer,Slack,Waterfall,AWS Certified,Chinese,Finance
A0036,4,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Data Science,Data Scientist,Cloud infrastructure,Mid-Term,Slack,Agile,AWS Certified,Chinese,Healthcare
A0037,9,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,Frontend Developer,Company Project,Mid-Term,Slack,Agile,PMP,Spanish,Technology
A0038,4,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development,Data Scientist,Cloud infrastructure,Freelancer,Microsoft Teams,Agile,None,Spanish,Finance
A0039,1,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Frontend Developer,E-commerce platform,Mid-Term,Slack,Agile,AWS Certified,Chinese,Healthcare
A0040,1,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Data Science,Data Scientist,Company Project,Short-Term,Slack,Agile,AWS Certified,Korean,Healthcare
A0041,1,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,DevOps,Open Source Contribution,Long-Term,Slack,Agile,AWS Certified,English,Technology
A0042,1,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",DevOps,DevOps,Mobile app,Short-Term,Slack,Waterfall,PMP,Korean,Healthcare
A0043,2,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,DevOps,Mobile app,Freelancer,Microsoft Teams,Agile,None,Spanish,Education
A0044,7,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Data Science,Data Engineer,Open Source Contribution,Full-Time,Slack,Agile,PMP,Chinese,Technology
A0045,13,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Data Science,Data Engineer,E-commerce platform,Part-Time,Microsoft Teams,Waterfall,PMP,English,Finance
A0046,14,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Data Engineer,Company Project,Mid-Term,Microsoft Teams,Agile,None,English,Education
A0047,11,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,Data Engineer,Mobile app,Mid-Term,Microsoft Teams,Waterfall,None,Korean,Education
A0048,6,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Data Scientist,E-commerce platform,Short-Term,Slack,Agile,AWS Certified,Spanish,Healthcare
A0049,13,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,Backend Developer,Open Source Contribution,Freelancer,Zoom,Agile,PMP,English,Finance
TL0000,11,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,Backend Developer,Mobile app,Mid-Term,Slack,Waterfall,AWS Certified,Spanish,Finance
TL0001,4,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Data Science,Frontend Developer,Cloud infrastructure,Short-Term,Zoom,Agile,None,Chinese,Finance
TL0002,6,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development,Backend Developer,E-commerce platform,Full-Time,Zoom,Agile,PMP,Chinese,Technology
TL0003,5,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,Data Scientist,Company Project,Freelancer,Microsoft Teams,Agile,PMP,Chinese,Technology
TL0004,15,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Data Science,DevOps,Mobile app,Full-Time,Zoom,Agile,None,Chinese,Finance
TL0005,5,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Data Science,Data Scientist,E-commerce platform,Freelancer,Zoom,Agile,None,Spanish,Finance
TL0006,10,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Frontend Developer,Cloud infrastructure,Part-Time,Microsoft Teams,Waterfall,AWS Certified,English,Finance
TL0007,12,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Data Science,Backend Developer,Cloud infrastructure,Mid-Term,Microsoft Teams,Agile,PMP,Korean,Technology
TL0008,13,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Data Engineer,Company Project,Part-Time,Zoom,Agile,AWS Certified,English,Finance
TL0009,15,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,DevOps,E-commerce platform,Long-Term,Zoom,Waterfall,None,English,Healthcare
TL0010,14,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development,Data Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,AWS Certified,English,Healthcare
TL0011,12,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Frontend Developer,Open Source Contribution,Long-Term,Microsoft Teams,Waterfall,None,Chinese,Education
TL0012,8,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,Data Engineer,Cloud infrastructure,Long-Term,Microsoft Teams,Agile,None,Korean,Finance
TL0013,4,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Frontend Developer,E-commerce platform,Full-Time,Microsoft Teams,Agile,PMP,English,Healthcare
TL0014,12,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",DevOps,Backend Developer,Cloud infrastructure,Part-Time,Slack,Waterfall,None,English,Technology
TL0015,6,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Backend Developer,Mobile app,Long-Term,Microsoft Teams,Waterfall,None,English,Education
TL0016,10,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,Data Engineer,Mobile app,Freelancer,Slack,Agile,PMP,Spanish,Technology
TL0017,1,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,DevOps,E-commerce platform,Part-Time,Zoom,Agile,AWS Certified,Chinese,Finance
TL0018,13,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,Backend Developer,Open Source Contribution,Mid-Term,Slack,Agile,AWS Certified,English,Healthcare
TL0019,9,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Data Engineer,E-commerce platform,Mid-Term,Slack,Waterfall,None,Korean,Technology
TL0020,10,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Backend Developer,Company Project,Long-Term,Microsoft Teams,Agile,AWS Certified,English,Education
TL0021,2,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,DevOps,Company Project,Full-Time,Slack,Waterfall,None,Spanish,Education
TL0022,11,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Data Engineer,Cloud infrastructure,Part-Time,Slack,Agile,AWS Certified,Korean,Finance
TL0023,6,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Backend Developer,Mobile app,Long-Term,Zoom,Agile,None,Korean,Technology
TL0024,13,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Data Science,Data Engineer,E-commerce platform,Freelancer,Slack,Agile,AWS Certified,Spanish,Healthcare
TL0025,15,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Backend Developer,Open Source Contribution,Short-Term,Slack,Waterfall,None,Korean,Healthcare
TL0026,12,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",DevOps,Data Scientist,Company Project,Part-Time,Microsoft Teams,Agile,PMP,Chinese,Healthcare
TL0027,9,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Data Scientist,Cloud infrastructure,Freelancer,Zoom,Agile,PMP,English,Education
TL0028,10,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development,Data Engineer,Mobile app,Freelancer,Microsoft Teams,Agile,None,Korean,Healthcare
TL0029,5,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Backend Developer,Company Project,Freelancer,Microsoft Teams,Waterfall,None,Chinese,Finance
TL0030,13,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",DevOps,DevOps,Open Source Contribution,Freelancer,Microsoft Teams,Waterfall,AWS Certified,Chinese,Healthcare
TL0031,14,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,Backend Developer,Company Project,Full-Time,Slack,Waterfall,None,Spanish,Education
TL0032,14,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Data Science,DevOps,E-commerce platform,Full-Time,Zoom,Waterfall,PMP,Chinese,Finance
TL0033,1,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,DevOps,Mobile app,Long-Term,Slack,Waterfall,None,Spanish,Education
TL0034,3,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Frontend Developer,E-commerce platform,Short-Term,Slack,Agile,PMP,Chinese,Healthcare
TL0035,14,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Data Science,Backend Developer,Open Source Contribution,Mid-Term,Microsoft Teams,Waterfall,AWS Certified,Chinese,Finance
TL0036,5,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Frontend Developer,Company Project,Full-Time,Slack,Agile,AWS Certified,English,Education
TL0037,3,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Data Scientist,Cloud infrastructure,Long-Term,Zoom,Waterfall,None,English,Finance
TL0038,2,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Data Engineer,Open Source Contribution,Full-Time,Slack,Agile,PMP,Spanish,Finance
TL0039,6,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,Data Engineer,Company Project,Short-Term,Zoom,Agile,None,Chinese,Healthcare
TL0040,13,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,DevOps,Cloud infrastructure,Full-Time,Microsoft Teams,Waterfall,PMP,Spanish,Education
TL0041,6,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Frontend Developer,Company Project,Part-Time,Microsoft Teams,Agile,None,English,Education
TL0042,5,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Data Scientist,E-commerce platform,Long-Term,Slack,Agile,PMP,Korean,Technology
TL0043,14,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,Frontend Developer,Cloud infrastructure,Full-Time,Microsoft Teams,Agile,AWS Certified,English,Education
TL0044,7,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Data Scientist,E-commerce platform,Short-Term,Microsoft Teams,Waterfall,PMP,Korean,Technology
TL0045,14,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Data Engineer,Company Project,Full-Time,Microsoft Teams,Agile,AWS Certified,Spanish,Healthcare
TL0046,9,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Frontend Developer,E-commerce platform,Part-Time,Microsoft Teams,Waterfall,PMP,Korean,Finance
TL0047,10,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Frontend Developer,Cloud infrastructure,Part-Time,Slack,Waterfall,None,Chinese,Technology
TL0048,2,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development,Backend Developer,Cloud infrastructure,Full-Time,Microsoft Teams,Waterfall,AWS Certified,Spanish,Finance
TL0049,15,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Backend Developer,Cloud infrastructure,Long-Term,Slack,Agile,PMP,English,Healthcare
